#,cveID,assigner,publishedDate,url,baseScore,exploitabilityScore,baseSeverity,attackVector,privilegesRequired,attackComplexity,userInteraction,confidentialityImpact,integrityImpact,availabilityImpact
46,CVE-2023-0050,cve@gitlab.com,2023-03-09T22:15Z,https://gitlab.com/gitlab-org/cves/-/blob/master/2023/CVE-2023-0050.json,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
47,CVE-2023-0051,security@huntr.dev,2023-01-04T18:15Z,https://huntr.dev/bounties/1c8686db-baa6-42dc-ba45-aed322802de9,7.8,1.8,HIGH,LOCAL,NONE,LOW,REQUIRED,HIGH,HIGH,HIGH
48,CVE-2023-0052,ics-cert@hq.dhs.gov,2023-01-20T22:15Z,https://www.cisa.gov/uscert/ics/advisories/icsa-23-012-05,8.8,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH
49,CVE-2023-0053,ics-cert@hq.dhs.gov,2023-03-02T01:15Z,https://www.cisa.gov/uscert/ics/advisories/icsa-23-012-05,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,HIGH,NONE,NONE
50,CVE-2023-0054,security@huntr.dev,2023-01-04T19:15Z,https://huntr.dev/bounties/b289ee0f-fd16-4147-bd01-c6289c45e49d,7.8,1.8,HIGH,LOCAL,NONE,LOW,REQUIRED,HIGH,HIGH,HIGH
51,CVE-2023-0055,security@huntr.dev,2023-01-04T22:15Z,https://huntr.dev/bounties/ed88e240-99ff-48a1-bf32-8e1ef5f13cce,5.3,3.9,MEDIUM,NETWORK,NONE,LOW,NONE,LOW,NONE,NONE
52,CVE-2023-0056,secalert@redhat.com,2023-03-23T21:15Z,https://access.redhat.com/security/cve/CVE-2023-0056,6.5,2.8,MEDIUM,NETWORK,LOW,LOW,NONE,NONE,NONE,HIGH
53,CVE-2023-0057,security@huntr.dev,2023-01-05T01:15Z,https://github.com/pyload/pyload/commit/bd2a31b7de54570b919aa1581d486e6ee18c0f64,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
54,CVE-2023-0059,contact@wpscan.com,2023-02-21T09:15Z,https://wpscan.com/vulnerability/5e26c485-9a5a-44a3-95b3-6c063a1c321c,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
55,CVE-2023-0060,contact@wpscan.com,2023-02-13T15:15Z,https://wpscan.com/vulnerability/be2fc859-3158-4f06-861d-382381a7551b,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
56,CVE-2023-0061,contact@wpscan.com,2023-02-13T15:15Z,https://wpscan.com/vulnerability/a1d0d131-c773-487e-88f8-e3d63936fbbb,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
57,CVE-2023-0062,contact@wpscan.com,2023-02-06T20:15Z,https://wpscan.com/vulnerability/450f94a3-56b1-41c7-ac29-fbda1dc04794,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
58,CVE-2023-0063,contact@wpscan.com,2023-03-06T14:15Z,https://wpscan.com/vulnerability/2262f2fc-8122-46ed-8e67-8c34ee35fc97,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
59,CVE-2023-0064,contact@wpscan.com,2023-03-06T14:15Z,https://wpscan.com/vulnerability/97be5795-b5b8-40c7-80bf-7da95da7705a,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
60,CVE-2023-0065,contact@wpscan.com,2023-03-06T14:15Z,https://wpscan.com/vulnerability/42c3ac68-4bbc-4d47-ad53-2c9ed48cd677,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
61,CVE-2023-0066,contact@wpscan.com,2023-03-13T17:15Z,https://wpscan.com/vulnerability/545c9e2f-bacd-4f30-ae01-de1583e26d32,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
62,CVE-2023-0067,contact@wpscan.com,2023-02-21T09:15Z,https://wpscan.com/vulnerability/92f43da9-9903-4bcf-99e8-0e269072d389,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
63,CVE-2023-0068,contact@wpscan.com,2023-03-06T14:15Z,https://wpscan.com/vulnerability/4abd1454-380c-4c23-8474-d7da4b2f3b8e,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
64,CVE-2023-0069,contact@wpscan.com,2023-03-06T14:15Z,https://wpscan.com/vulnerability/d9f00bcb-3746-4a9d-a222-4d532e84615f,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
65,CVE-2023-0070,contact@wpscan.com,2023-02-06T20:15Z,https://wpscan.com/vulnerability/0d8fbd1a-9fac-42ac-94e0-f8921deb1696,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
66,CVE-2023-0071,contact@wpscan.com,2023-01-30T21:15Z,https://wpscan.com/vulnerability/3834a162-2cdc-41e9-9c9d-2b576eed4db9,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
67,CVE-2023-0072,contact@wpscan.com,2023-02-06T20:15Z,https://wpscan.com/vulnerability/bb2b876f-7216-4f31-9d1f-a45405c545ce,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
68,CVE-2023-0073,contact@wpscan.com,2023-03-13T17:15Z,https://wpscan.com/vulnerability/e5599968-a435-405a-8829-9840a2144987,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
69,CVE-2023-0074,contact@wpscan.com,2023-01-30T21:15Z,https://wpscan.com/vulnerability/82f543e3-9397-4364-9546-af5ea134fcd4,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
70,CVE-2023-0075,contact@wpscan.com,2023-02-13T15:15Z,https://wpscan.com/vulnerability/097acd6f-3291-4cdc-a054-4432b6350411,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
71,CVE-2023-0076,contact@wpscan.com,2023-03-06T14:15Z,https://wpscan.com/vulnerability/a0a44f8a-877c-40df-a3ba-b9b806ffb772,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
72,CVE-2023-0077,security@synology.com,2023-01-05T10:15Z,https://www.synology.com/en-global/security/advisory/Synology_SA_22_25,9.8,3.9,CRITICAL,NETWORK,NONE,LOW,NONE,HIGH,HIGH,HIGH
73,CVE-2023-0078,contact@wpscan.com,2023-03-06T14:15Z,https://wpscan.com/vulnerability/e667854f-56f8-4dbe-9573-6652a8aacc2c,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
74,CVE-2023-0080,contact@wpscan.com,2023-02-13T15:15Z,https://wpscan.com/vulnerability/6b0d63ed-e244-4f20-8f10-a6e0c7ccadd4,8.8,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH
75,CVE-2023-0081,contact@wpscan.com,2023-02-06T20:15Z,https://wpscan.com/vulnerability/76d2963c-ebff-498f-9484-3c3008750c14,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
76,CVE-2023-0082,contact@wpscan.com,2023-02-06T20:15Z,https://wpscan.com/vulnerability/e1ba5047-0c39-478f-89c7-b0bb638efdff,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
77,CVE-2023-0083,scy@openharmony.io,2023-03-10T11:15Z,https://gitee.com/openharmony/security/blob/master/en/security-disclosure/2023/2023-02.md,5.5,1.8,MEDIUM,LOCAL,LOW,LOW,NONE,NONE,NONE,HIGH
78,CVE-2023-0084,security@wordfence.com,2023-03-02T19:15Z,https://www.wordfence.com/threat-intel/vulnerabilities/id/05f7d9fe-e95f-4ddf-9bce-2aeac3c2e946,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
79,CVE-2023-0085,security@wordfence.com,2023-03-02T17:15Z,https://www.wordfence.com/threat-intel/vulnerabilities/id/69527d4b-49b6-47cd-93b6-39350f881ec9,5.3,3.9,MEDIUM,NETWORK,NONE,LOW,NONE,NONE,LOW,NONE
80,CVE-2023-0086,security@wordfence.com,2023-01-05T17:15Z,https://www.wordfence.com/threat-intel/vulnerabilities/id/8de3d3c7-bde2-4455-8d60-20307f0a53ee,6.5,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,NONE,HIGH,NONE
81,CVE-2023-0087,security@wordfence.com,2023-01-05T19:15Z,https://www.wordfence.com/threat-intel/vulnerabilities/id/8550a405-9fa2-41a3-b556-05ff9f577ce4,4.8,1.7,MEDIUM,NETWORK,HIGH,LOW,REQUIRED,LOW,LOW,NONE
82,CVE-2023-0088,security@wordfence.com,2023-01-05T19:15Z,https://plugins.trac.wordpress.org/browser/swifty-page-manager/trunk/swifty-page-manager.php?rev=1555394#L994,8.8,2.8,HIGH,NETWORK,NONE,LOW,REQUIRED,HIGH,HIGH,HIGH
83,CVE-2023-0089,security@proofpoint.com,2023-03-08T01:15Z,https://www.proofpoint.com/security/security-advisories/pfpt-sa-2023-0001,8.8,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH
84,CVE-2023-0090,security@proofpoint.com,2023-03-08T01:15Z,https://www.proofpoint.com/security/security-advisories/pfpt-sa-2023-0001,9.8,3.9,CRITICAL,NETWORK,NONE,LOW,NONE,HIGH,HIGH,HIGH
85,CVE-2023-0091,secalert@redhat.com,2023-01-13T06:15Z,https://access.redhat.com/security/cve/CVE-2023-0091,3.8,1.2,LOW,NETWORK,HIGH,LOW,NONE,LOW,LOW,NONE
86,CVE-2023-0093,psirt@okta.com,2023-03-06T21:15Z,https://trust.okta.com/security-advisories/okta-advanced-server-access-client-cve-2023-0093/,8.8,2.8,HIGH,NETWORK,NONE,LOW,REQUIRED,HIGH,HIGH,HIGH
87,CVE-2023-0095,contact@wpscan.com,2023-02-06T20:15Z,https://wpscan.com/vulnerability/009ca72e-e8fa-4fdc-ab2d-4210f8f4710f,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
88,CVE-2023-0096,contact@wpscan.com,2023-02-06T20:15Z,https://wpscan.com/vulnerability/b28150e7-214b-4bcd-85c0-e819c4223484,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
89,CVE-2023-0097,contact@wpscan.com,2023-01-30T21:15Z,https://wpscan.com/vulnerability/19379f08-d667-4b1e-a774-0f4a17ad7bff,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
90,CVE-2023-0098,contact@wpscan.com,2023-02-13T15:15Z,https://wpscan.com/vulnerability/db0b3275-40df-404e-aa8d-53558f0122d8,8.8,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH
91,CVE-2023-0099,contact@wpscan.com,2023-02-13T15:15Z,https://wpscan.com/vulnerability/fd50f2d6-e420-4220-b485-73f33227e8f8,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
92,CVE-2023-0100,security@eclipse.org,2023-03-15T15:15Z,https://bugs.eclipse.org/bugs/show_bug.cgi?id=580391,8.8,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH
93,CVE-2023-0101,vulnreport@tenable.com,2023-01-20T19:15Z,https://www.tenable.com/security/tns-2023-02,8.8,2.8,HIGH,NETWORK,LOW,LOW,NONE,HIGH,HIGH,HIGH
94,CVE-2023-0102,ics-cert@hq.dhs.gov,2023-02-15T18:15Z,https://www.cisa.gov/uscert/ics/advisories/icsa-23-040-02,9.1,3.9,CRITICAL,NETWORK,NONE,LOW,NONE,NONE,HIGH,HIGH
95,CVE-2023-0103,ics-cert@hq.dhs.gov,2023-02-15T18:15Z,https://www.cisa.gov/uscert/ics/advisories/icsa-23-040-02,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,NONE,NONE,HIGH
96,CVE-2023-0104,ics-cert@hq.dhs.gov,2023-02-22T21:15Z,https://www.cisa.gov/uscert/ics/advisories/icsa-23-045-01,7.8,1.8,HIGH,LOCAL,NONE,LOW,REQUIRED,HIGH,HIGH,HIGH
97,CVE-2023-0105,secalert@redhat.com,2023-01-13T06:15Z,https://access.redhat.com/security/cve/CVE-2023-0105,6.5,3.9,MEDIUM,NETWORK,NONE,LOW,NONE,NONE,LOW,LOW
98,CVE-2023-0106,security@huntr.dev,2023-01-07T04:15Z,https://huntr.dev/bounties/5c0809cb-f4ff-4447-bed6-b5625fb374bb,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
99,CVE-2023-0107,security@huntr.dev,2023-01-07T04:15Z,https://huntr.dev/bounties/0b28fa57-acb0-47c8-ac48-962ff3898156,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
100,CVE-2023-0108,security@huntr.dev,2023-01-07T04:15Z,https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
101,CVE-2023-0110,security@huntr.dev,2023-01-07T04:15Z,https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
102,CVE-2023-0111,security@huntr.dev,2023-01-07T04:15Z,https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
103,CVE-2023-0112,security@huntr.dev,2023-01-07T04:15Z,https://github.com/usememos/memos/commit/46c13a4b7f675b92d297df6dabb4441f13c7cd9c,5.4,2.3,MEDIUM,NETWORK,LOW,LOW,REQUIRED,LOW,LOW,NONE
104,CVE-2023-0113,cna@vuldb.com,2023-01-07T09:15Z,https://vuldb.com/?ctiid.217591,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,HIGH,NONE,NONE
105,CVE-2023-0114,cna@vuldb.com,2023-01-07T09:15Z,https://vuldb.com/?ctiid.217592,5.5,1.8,MEDIUM,LOCAL,LOW,LOW,NONE,HIGH,NONE,NONE
106,CVE-2023-0116,psirt@huawei.com,2023-05-26T17:15Z,https://consumer.huawei.com/en/support/bulletin/2023/5/,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,NONE,NONE,HIGH
107,CVE-2023-0117,psirt@huawei.com,2023-05-26T17:15Z,https://consumer.huawei.com/en/support/bulletin/2023/5/,5.3,3.9,MEDIUM,NETWORK,NONE,LOW,NONE,NONE,NONE,LOW
108,CVE-2023-0121,cve@gitlab.com,2023-06-07T17:15Z,https://hackerone.com/reports/1774688,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,NONE,NONE,HIGH
109,CVE-2023-0122,secalert@redhat.com,2023-01-17T21:15Z,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=da0342a3aa0357795224e6283df86444e1117168,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,NONE,NONE,HIGH
110,CVE-2023-0123,ics-cert@hq.dhs.gov,2023-02-03T03:15Z,https://www.cisa.gov/uscert/ics/advisories/icsa-23-031-01,7.8,1.8,HIGH,LOCAL,NONE,LOW,REQUIRED,HIGH,HIGH,HIGH
111,CVE-2023-0124,ics-cert@hq.dhs.gov,2023-02-03T03:15Z,https://www.cisa.gov/uscert/ics/advisories/icsa-23-031-01,7.8,1.8,HIGH,LOCAL,NONE,LOW,REQUIRED,HIGH,HIGH,HIGH
112,CVE-2023-0125,cna@vuldb.com,2023-01-09T21:15Z,https://www.notion.so/ControlID-XSS-7ab891644a794103b582a59360f071a5,6.1,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,LOW,LOW,NONE
113,CVE-2023-0126,PSIRT@sonicwall.com,2023-01-19T20:15Z,https://psirt.global.sonicwall.com/vuln-detail/SNWLID-2023-0001,7.5,3.9,HIGH,NETWORK,NONE,LOW,NONE,HIGH,NONE,NONE
114,CVE-2023-0127,vulnreport@tenable.com,2023-02-11T18:15Z,https://www.tenable.com/security/research/tra-2023-1,7.8,1.8,HIGH,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH
115,CVE-2023-0128,chrome-cve-admin@google.com,2023-01-10T20:15Z,https://crbug.com/1353208,8.8,2.8,HIGH,NETWORK,NONE,LOW,REQUIRED,HIGH,HIGH,HIGH
116,CVE-2023-0129,chrome-cve-admin@google.com,2023-01-10T20:15Z,https://chromereleases.googleblog.com/2023/01/stable-channel-update-for-desktop.html,8.8,2.8,HIGH,NETWORK,NONE,LOW,REQUIRED,HIGH,HIGH,HIGH
117,CVE-2023-0130,chrome-cve-admin@google.com,2023-01-10T20:15Z,https://crbug.com/1370028,6.5,2.8,MEDIUM,NETWORK,NONE,LOW,REQUIRED,NONE,HIGH,NONE
